feature,importance,importance_pct,cumulative_pct
did_police_officer_attend_scene_of_accident,0.053846181625871924,5.38,5.38
max_engine_cc,0.04103593579581161,4.1,9.48
avg_casualty_age,0.040355214231764386,4.04,13.52
min_casualty_age,0.0352178858677093,3.52,17.04
latitude,0.03190421953410233,3.19,20.23
avg_driver_age,0.031260106946902066,3.13,23.36
location_northing_osgr,0.030843077873265092,3.08,26.44
dist_from_center_km,0.030143159558825315,3.01,29.45
cluster_risk_score,0.03008653043652652,3.01,32.46
location_easting_osgr,0.029854325966637306,2.99,35.45
longitude,0.029542105077240893,2.95,38.4
min_driver_age,0.028236484634167818,2.82,41.22
avg_vehicle_age,0.02655159087034994,2.66,43.88
first_road_number,0.024895138719363684,2.49,46.37
week,0.024571887184422474,2.46,48.83
hour_cos,0.02086652394411984,2.09,50.92
hour,0.020743195691791602,2.07,52.99
speed_limit,0.019624653776849965,1.96,54.95
police_force,0.017661383064591838,1.77,56.72
hour_sin,0.016250188411379464,1.63,58.35
has_motorcycle,0.015730586866947803,1.57,59.92
cluster_collision_count,0.015497233432699957,1.55,61.47
number_of_vehicles,0.01519295587879813,1.52,62.99
hotspot_cluster,0.01496404443846614,1.5,64.49
month,0.014639405706797505,1.46,65.95
cluster_risk_tier,0.014370009808624858,1.44,67.39
pedestrian_count,0.014257725360570885,1.43,68.82
day_sin,0.014176978706008743,1.42,70.24
day_of_week,0.013277421688741853,1.33,71.57
lon_bin,0.012572323768497706,1.26,72.83
month_cos,0.012533849838504441,1.25,74.08
month_sin,0.012340297974350824,1.23,75.31
urban_or_rural_area,0.011953426082605583,1.2,76.51
number_of_casualties,0.011633564254461427,1.16,77.67
danger_score,0.011600160462648128,1.16,78.83
lat_bin,0.010755227064523228,1.08,79.91
has_elderly_casualty,0.010554479562553336,1.06,80.97
junction_detail,0.010348127348979424,1.03,82.0
first_road_class,0.009683065079449398,0.97,82.97
day_cos,0.008850765419261542,0.89,83.86
driver_casualty_count,0.008214260850308993,0.82,84.68
is_rural,0.007745236466080163,0.77,85.45
second_road_number,0.007472638461851478,0.75,86.2
season,0.007262295626457289,0.73,86.93
speed_risk,0.007161623834044605,0.72,87.65
second_road_class,0.00712205796132344,0.71,88.36
time_of_day,0.006502048026154531,0.65,89.01
junction_detail_historic,0.006125145203622341,0.61,89.62
has_hgv,0.005953763827492596,0.6,90.22
is_in_hotspot,0.005599942259287415,0.56,90.78
rural_high_speed,0.0055885358686320165,0.56,91.34
skid_event,0.005239510258707234,0.52,91.86
road_type,0.005233113491527066,0.52,92.38
is_high_speed,0.005190105122512687,0.52,92.9
light_conditions,0.005054020744257678,0.51,93.41
is_at_junction,0.004898511458346222,0.49,93.9
pedestrian_crossing,0.004840672081540038,0.48,94.38
is_major_road,0.004476918238692474,0.45,94.83
weather_conditions,0.004127081434303028,0.41,95.24
is_rush_hour,0.0037395106104445796,0.37,95.61
has_pedestrian_cycle,0.0036080294294796654,0.36,95.97
road_surface_conditions,0.0034656516717204875,0.35,96.32
is_weekend,0.003444154644515399,0.34,96.66
is_dark,0.003238811425492532,0.32,96.98
is_single_carriageway,0.003138251876709166,0.31,97.29
is_wet_surface,0.0028801907817614988,0.29,97.58
pedestrian_crossing_physical_facilities_historic,0.002795510314484672,0.28,97.86
is_night,0.002649337143989598,0.26,98.12
dark_rural,0.0025111602766074957,0.25,98.37
carriageway_hazards,0.002329363540270408,0.23,98.6
junction_control,0.0018834961518709745,0.19,98.79
is_adverse_weather,0.0018123182457538626,0.18,98.97
is_raining,0.0016353472289412114,0.16,99.13
has_child_casualty,0.0015314043750210558,0.15,99.28
pedestrian_crossing_human_control_historic,0.0015273510513362839,0.15,99.43
high_speed_wet,0.001433122431766701,0.14,99.57
trunk_road_flag,0.0012007963672984964,0.12,99.69
weekend_night,0.0010618817247916527,0.11,99.8
escooter_involved,0.0007821854677374208,0.08,99.88
carriageway_hazards_historic,0.0005682215325921912,0.06,99.94
special_conditions_at_site,0.000534984537089052,0.05,99.99
